,player,kit,team,x,y,endx,endy,event,outcome,time
419,Aaron Wan-Bissaka,29,32,87.7,11.2,88.3,16.9,Pass,Unsuccessful,23
420,Lucas Digne,12,31,13.8,83.0,0.0,0.0,BallTouch,Successful,23
421,Lucas Digne,12,31,12.8,83.0,0.0,0.0,CornerAwarded,Unsuccessful,23
422,Aaron Wan-Bissaka,29,32,87.2,17.0,0.0,0.0,CornerAwarded,Successful,23
423,Bruno Fernandes,18,32,99.5,0.5,94.1,47.0,Pass,Unsuccessful,23
424,Michael Keane,5,31,4.7,52.2,23.7,70.5,Clearance,Successful,23
425,Fred,17,32,76.4,30.2,78.9,7.4,Pass,Successful,23
426,Bruno Fernandes,18,32,78.9,7.4,89.4,39.8,Pass,Unsuccessful,23
427,Allan,6,31,12.9,63.8,13.7,74.0,Pass,Successful,23
428,Lucas Digne,12,31,12.6,78.3,0.0,0.0,BallRecovery,Successful,23
429,Lucas Digne,12,31,11.7,87.2,13.4,87.5,Pass,Unsuccessful,23
430,Victor Lindelöf,2,32,83.9,10.7,0.0,0.0,BlockedPass,Successful,23
431,Lucas Digne,12,31,20.4,100.0,37.6,95.0,Pass,Successful,23
432,Salomón Rondón,33,31,39.6,94.6,0.0,0.0,Aerial,Successful,23
433,Scott McTominay,39,32,60.4,5.4,0.0,0.0,Aerial,Unsuccessful,23
434,Salomón Rondón,33,31,37.6,94.6,39.7,95.2,Pass,Unsuccessful,23
435,Scott McTominay,39,32,58.5,5.9,0.0,0.0,BallTouch,Successful,24
436,Fred,17,32,59.8,15.2,0.0,0.0,BallRecovery,Successful,24
437,Fred,17,32,59.8,15.2,67.0,4.0,Pass,Successful,24
438,Mason Greenwood,11,32,67.1,4.0,72.8,11.6,Pass,Successful,24
439,Edinson Cavani,21,32,72.8,11.6,65.6,13.6,Pass,Successful,24
440,Bruno Fernandes,18,32,65.6,13.6,63.3,4.4,Pass,Successful,24
441,Mason Greenwood,11,32,65.7,6.4,46.2,35.2,Pass,Successful,24
