,player,kit,team,x,y,endx,endy,event,outcome,time
670,Aaron Wan-Bissaka,29,32,72.7,8.3,70.1,28.4,Pass,Successful,39
671,Fred,17,32,69.7,24.2,69.6,6.2,Pass,Successful,39
672,Aaron Wan-Bissaka,29,32,70.0,3.4,0.0,0.0,Dispossessed,Successful,39
673,Anthony Gordon,24,31,30.0,96.6,0.0,0.0,Tackle,Unsuccessful,39
674,Aaron Wan-Bissaka,29,32,68.9,3.4,33.0,4.6,Pass,Successful,39
675,Victor Lindelöf,2,32,34.9,16.9,37.7,60.8,Pass,Successful,39
676,Raphaël Varane,19,32,40.6,63.2,49.1,93.2,Pass,Successful,39
677,Bruno Fernandes,18,32,49.1,93.2,44.7,72.5,Pass,Successful,39
678,Raphaël Varane,19,32,45.2,64.5,48.6,30.5,Pass,Successful,39
679,Victor Lindelöf,2,32,74.8,21.8,80.8,27.7,Pass,Successful,39
680,Scott McTominay,39,32,80.8,27.7,78.7,29.8,Pass,Successful,39
681,Edinson Cavani,21,32,78.8,28.4,93.4,0.0,Pass,Unsuccessful,39
682,Lucas Digne,12,31,13.1,100.0,34.5,95.3,Pass,Unsuccessful,40
683,Aaron Wan-Bissaka,29,32,64.5,5.0,0.0,0.0,BallTouch,Successful,40
684,Lucas Digne,12,31,27.0,100.0,54.3,93.5,Pass,Successful,40
685,Salomón Rondón,33,31,53.6,96.2,0.0,0.0,Aerial,Successful,40
686,Scott McTominay,39,32,46.4,3.8,0.0,0.0,Aerial,Unsuccessful,40
687,Salomón Rondón,33,31,54.1,95.2,56.0,95.2,Pass,Unsuccessful,40
688,Scott McTominay,39,32,46.4,5.3,0.0,0.0,BallTouch,Successful,40
689,Lucas Digne,12,31,55.3,100.0,76.4,81.0,Pass,Unsuccessful,40
690,Raphaël Varane,19,32,25.9,21.8,44.5,15.8,Pass,Unsuccessful,40
691,Michael Keane,5,31,55.6,84.2,0.0,0.0,Aerial,Successful,40
692,Edinson Cavani,21,32,44.4,15.8,0.0,0.0,Aerial,Unsuccessful,40
693,Michael Keane,5,31,57.1,85.2,61.5,91.7,Pass,Successful,40
694,Lucas Digne,12,31,65.7,96.6,72.7,85.8,Pass,Unsuccessful,40
695,Scott McTominay,39,32,32.3,13.7,0.0,0.0,Interception,Successful,40
696,Scott McTominay,39,32,32.8,9.4,0.0,0.0,BallRecovery,Successful,40
697,Scott McTominay,39,32,32.8,9.4,36.9,3.5,Pass,Successful,40
698,Mason Greenwood,11,32,40.6,10.1,42.8,11.0,Pass,Unsuccessful,40
699,Lucas Digne,12,31,60.3,83.6,0.0,0.0,BlockedPass,Successful,40
700,Fred,17,32,40.5,28.9,59.6,16.9,Pass,Successful,40
701,Edinson Cavani,21,32,60.6,19.1,63.2,38.5,Pass,Successful,40
702,Mason Greenwood,11,32,68.4,47.2,79.0,73.7,Pass,Successful,40
703,Anthony Martial,9,32,78.0,74.4,0.0,0.0,TakeOn,Unsuccessful,41
704,Ben Godfrey,22,31,22.0,25.6,0.0,0.0,Tackle,Successful,41
705,Luke Shaw,23,32,72.6,77.3,91.7,47.3,Pass,Unsuccessful,41
706,Michael Keane,5,31,8.7,53.3,20.1,70.1,Clearance,Successful,41
707,Anthony Gordon,24,31,20.7,69.2,5.7,80.6,Pass,Successful,41
708,Lucas Digne,12,31,6.0,81.0,10.5,100.0,Clearance,Successful,41
709,Aaron Wan-Bissaka,29,32,79.5,0.0,76.3,12.1,Pass,Successful,41
710,Bruno Fernandes,18,32,74.7,7.7,62.3,8.6,Pass,Successful,41
711,Victor Lindelöf,2,32,59.8,16.1,54.7,50.9,Pass,Successful,41
712,Raphaël Varane,19,32,61.9,55.5,67.7,24.8,Pass,Successful,41
713,Bruno Fernandes,18,32,71.0,24.7,76.2,38.0,Pass,Successful,41
714,Edinson Cavani,21,32,76.2,38.0,84.4,28.6,Pass,Unsuccessful,41
715,Lucas Digne,12,31,14.5,72.9,0.0,0.0,BallRecovery,Successful,41
716,Lucas Digne,12,31,14.5,72.9,35.7,100.0,Pass,Unsuccessful,41
717,Aaron Wan-Bissaka,29,32,62.7,0.0,43.8,5.9,Pass,Successful,41
718,Victor Lindelöf,2,32,43.0,25.9,45.6,60.2,Pass,Successful,41
719,Raphaël Varane,19,32,46.3,64.7,63.0,97.8,Pass,Successful,41
720,Anthony Martial,9,32,63.7,96.3,62.1,79.1,Pass,Successful,42
721,Fred,17,32,62.1,79.1,53.3,81.9,Pass,Successful,42
722,Raphaël Varane,19,32,49.0,70.4,59.0,14.6,Pass,Successful,42
723,Aaron Wan-Bissaka,29,32,62.2,8.0,64.4,22.9,Pass,Successful,42
724,Scott McTominay,39,32,65.7,12.7,70.5,20.6,Pass,Successful,42
725,Mason Greenwood,11,32,67.4,28.9,74.5,52.7,Pass,Successful,42
726,Bruno Fernandes,18,32,79.2,55.1,89.8,66.8,Pass,Successful,42
727,Anthony Martial,9,32,89.8,66.8,0.0,0.0,Goal,Successful,42
728,Demarai Gray,11,31,50.1,50.0,33.3,41.6,Pass,Successful,43
729,Michael Keane,5,31,33.3,41.6,73.2,72.3,Pass,Successful,43
730,Salomón Rondón,33,31,73.2,72.3,65.7,65.0,Pass,Successful,43
731,Demarai Gray,11,31,65.9,61.8,71.0,51.8,Pass,Unsuccessful,43
732,Luke Shaw,23,32,25.2,48.7,30.5,46.0,Pass,Successful,43
733,Bruno Fernandes,18,32,30.5,46.0,26.3,62.6,Pass,Successful,43
734,Luke Shaw,23,32,26.3,62.6,0.0,0.0,BallRecovery,Successful,43
735,Luke Shaw,23,32,26.3,62.6,33.7,94.5,Pass,Unsuccessful,43
736,Ben Godfrey,22,31,64.5,4.0,66.7,0.0,Pass,Unsuccessful,43
737,Luke Shaw,23,32,33.3,100.0,35.6,83.9,Pass,Successful,44
738,Bruno Fernandes,18,32,33.7,68.3,29.8,37.0,Pass,Successful,44
739,Aaron Wan-Bissaka,29,32,47.4,23.2,61.9,2.9,Pass,Successful,44
740,Mason Greenwood,11,32,59.6,7.0,47.8,17.5,Pass,Successful,44
741,Scott McTominay,39,32,53.2,19.0,61.5,84.9,Pass,Successful,44
742,Luke Shaw,23,32,61.5,84.9,72.6,84.8,Pass,Successful,44
743,Anthony Martial,9,32,72.6,84.8,72.0,94.1,Pass,Successful,44
744,Luke Shaw,23,32,72.0,94.1,68.7,84.6,Pass,Successful,44
745,Anthony Martial,9,32,68.7,84.6,62.4,75.8,Pass,Successful,44
746,Fred,17,32,62.4,75.8,63.2,76.2,Pass,Unsuccessful,44
747,Abdoulaye Doucouré,16,31,39.3,24.1,0.0,0.0,BlockedPass,Successful,44
748,Luke Shaw,23,32,70.4,100.0,72.8,89.7,Pass,Successful,44
749,Edinson Cavani,21,32,72.8,89.7,70.6,98.0,Pass,Successful,44
750,Luke Shaw,23,32,70.6,98.0,71.3,96.2,Pass,Unsuccessful,44
751,Andros Townsend,14,31,36.7,5.8,0.0,0.0,BallTouch,Successful,44
752,Fred,17,32,66.6,87.3,70.5,74.9,Pass,Unsuccessful,44
753,Yerry Mina,13,31,32.6,30.7,0.0,0.0,BallRecovery,Successful,44
754,Yerry Mina,13,31,32.6,30.7,26.8,51.0,Pass,Successful,44
755,Michael Keane,5,31,27.8,53.9,69.4,72.9,Pass,Unsuccessful,44
756,Victor Lindelöf,2,32,33.2,36.4,34.6,10.9,Pass,Successful,44
757,Aaron Wan-Bissaka,29,32,34.6,10.7,0.0,0.0,BallRecovery,Successful,44
758,Aaron Wan-Bissaka,29,32,34.7,10.6,36.6,27.7,Pass,Successful,44
759,Scott McTominay,39,32,36.6,27.7,37.5,39.5,Pass,Successful,44
760,Fred,17,32,37.5,39.5,47.5,25.7,Pass,Successful,44
761,Aaron Wan-Bissaka,29,32,47.5,25.7,52.4,10.7,Pass,Successful,44
762,Bruno Fernandes,18,32,61.4,4.1,68.7,3.5,Pass,Successful,45
763,Mason Greenwood,11,32,68.4,3.7,74.2,13.7,Pass,Successful,45
764,Aaron Wan-Bissaka,29,32,74.2,13.7,0.0,0.0,BallTouch,Successful,45
765,Scott McTominay,39,32,80.8,17.1,0.0,0.0,Dispossessed,Successful,45
766,Yerry Mina,13,31,19.2,82.9,0.0,0.0,Tackle,Unsuccessful,45
767,Scott McTominay,39,32,79.7,15.4,0.0,0.0,BallTouch,Successful,45
768,Yerry Mina,13,31,13.6,87.5,0.0,0.0,BallRecovery,Successful,45
769,Yerry Mina,13,31,12.9,94.2,3.5,69.3,Pass,Successful,45
770,Jordan Pickford,1,31,3.5,69.3,44.5,72.2,Pass,Unsuccessful,45
771,Fred,17,32,56.7,32.2,63.0,38.5,Pass,Unsuccessful,45
772,Andros Townsend,14,31,36.7,60.3,46.4,68.4,Pass,Unsuccessful,45
773,Fred,17,32,56.1,33.7,57.2,49.4,Pass,Successful,45
774,Luke Shaw,23,32,57.2,49.4,0.0,0.0,BallRecovery,Successful,45
775,Luke Shaw,23,32,72.2,75.0,79.1,87.2,Pass,Successful,45
776,Anthony Martial,9,32,81.9,86.7,81.6,72.6,Pass,Successful,45
777,Edinson Cavani,21,32,81.6,72.6,77.4,74.1,Pass,Successful,45
778,Anthony Martial,9,32,76.4,67.2,0.0,0.0,SavedShot,Successful,45
779,Jordan Pickford,1,31,3.4,50.1,0.0,0.0,Save,Successful,45
780,Jordan Pickford,1,31,3.4,50.1,0.0,0.0,KeeperPickup,Successful,45
781,Jordan Pickford,1,31,3.4,50.1,22.0,86.0,Pass,Successful,45
782,Lucas Digne,12,31,29.7,93.5,93.1,71.0,Pass,Unsuccessful,45
783,David de Gea,1,32,2.2,30.4,0.0,0.0,BallRecovery,Successful,45
784,David de Gea,1,32,4.9,48.5,16.5,74.3,Pass,Successful,45
785,Raphaël Varane,19,32,30.4,76.2,26.4,64.4,Pass,Successful,45
786,Fred,17,32,27.3,63.0,38.8,52.8,Pass,Successful,45
787,Bruno Fernandes,18,32,37.2,51.9,30.8,43.6,Pass,Successful,46
788,Victor Lindelöf,2,32,30.8,43.6,36.7,26.2,Pass,Successful,46
789,Scott McTominay,39,32,42.3,29.6,39.2,58.5,Pass,Successful,46
790,Fred,17,32,38.3,62.6,63.2,90.3,Pass,Successful,46
791,Anthony Martial,9,32,63.2,90.3,45.3,79.7,Pass,Successful,46
792,Luke Shaw,23,32,45.3,79.1,36.4,41.5,Pass,Successful,46
793,Victor Lindelöf,2,32,39.0,33.7,55.8,5.3,Pass,Successful,46
794,Aaron Wan-Bissaka,29,32,55.8,5.3,56.7,19.0,Pass,Successful,46
795,Bruno Fernandes,18,32,40.4,9.1,34.0,41.9,Pass,Successful,46
796,Victor Lindelöf,2,32,35.4,48.7,36.7,75.8,Pass,Successful,46
797,Raphaël Varane,19,32,36.7,75.8,47.1,83.4,Pass,Successful,46
798,Luke Shaw,23,32,47.1,83.4,64.7,79.2,Pass,Successful,46
799,Edinson Cavani,21,32,64.7,79.2,57.5,75.5,Pass,Successful,46
800,Luke Shaw,23,32,57.5,75.5,64.5,59.1,Pass,Successful,46
801,Mason Greenwood,11,32,59.9,65.8,0.0,0.0,Foul,Successful,46
802,Allan,6,31,40.1,34.2,0.0,0.0,Foul,Unsuccessful,46
803,Fred,17,32,53.6,59.0,54.9,45.8,Pass,Successful,46
804,Scott McTominay,39,32,66.1,37.7,71.6,14.2,Pass,Successful,46
805,Bruno Fernandes,18,32,75.9,9.5,77.2,15.1,Pass,Unsuccessful,46
806,Anthony Gordon,24,31,26.1,87.8,0.0,0.0,BallTouch,Successful,46
807,Jordan Pickford,1,31,4.7,51.6,0.0,0.0,Claim,Successful,46
808,Jordan Pickford,1,31,14.3,59.6,19.5,37.1,Pass,Successful,46
809,Bruno Fernandes,18,32,49.9,50.0,30.9,47.3,Pass,Successful,45
810,Victor Lindelöf,2,32,34.0,48.8,69.4,87.2,Pass,Unsuccessful,45
811,Ben Godfrey,22,31,29.0,13.6,0.0,0.0,Aerial,Successful,45
812,Anthony Martial,9,32,71.0,86.4,0.0,0.0,Aerial,Unsuccessful,45
813,Ben Godfrey,22,31,24.2,16.0,25.1,0.0,Clearance,Successful,45
814,Luke Shaw,23,32,77.0,100.0,79.1,86.3,Pass,Unsuccessful,45
815,Andros Townsend,14,31,19.4,11.8,0.0,0.0,Interception,Successful,45
816,Luke Shaw,23,32,69.4,100.0,70.5,89.0,Pass,Successful,45
817,Bruno Fernandes,18,32,70.5,89.0,68.8,95.1,Pass,Successful,45
818,Luke Shaw,23,32,70.0,94.4,0.0,0.0,Dispossessed,Successful,45
819,Abdoulaye Doucouré,16,31,30.0,5.6,0.0,0.0,Tackle,Unsuccessful,45
820,Luke Shaw,23,32,68.3,95.0,62.4,96.0,Pass,Successful,45
821,Fred,17,32,62.4,96.0,85.8,96.8,Pass,Unsuccessful,45
822,Ben Godfrey,22,31,15.6,2.9,25.8,0.0,Pass,Unsuccessful,45
823,Luke Shaw,23,32,69.2,100.0,70.2,90.1,Pass,Successful,46
824,Fred,17,32,67.8,82.2,52.5,55.4,Pass,Successful,46
825,Scott McTominay,39,32,69.8,17.6,76.9,16.4,Pass,Unsuccessful,46
826,Anthony Gordon,24,31,23.6,88.5,0.0,0.0,BallRecovery,Successful,46
827,Anthony Gordon,24,31,25.2,88.1,26.5,76.1,Pass,Successful,46
828,Allan,6,31,26.5,75.2,73.3,76.5,Pass,Unsuccessful,46
829,David de Gea,1,32,21.4,22.6,0.0,0.0,BallRecovery,Successful,46
830,David de Gea,1,32,21.4,22.6,28.7,24.8,Pass,Successful,46
831,Victor Lindelöf,2,32,29.8,27.4,40.1,40.7,Pass,Successful,46
832,Fred,17,32,39.2,43.6,33.9,63.8,Pass,Successful,46
833,Raphaël Varane,19,32,38.8,65.7,40.2,37.7,Pass,Successful,46
834,Victor Lindelöf,2,32,45.1,42.5,44.8,71.7,Pass,Successful,46
835,Raphaël Varane,19,32,48.1,75.6,60.8,95.9,Pass,Successful,46
836,Anthony Martial,9,32,60.8,95.9,40.9,92.7,Pass,Successful,46
837,Luke Shaw,23,32,40.9,92.7,43.4,80.1,Pass,Successful,46
838,Fred,17,32,43.4,80.1,51.3,96.8,Pass,Successful,46
839,Luke Shaw,23,32,71.2,83.3,73.8,57.6,Pass,Successful,46
840,Mason Greenwood,11,32,73.8,57.6,69.3,57.0,Pass,Unsuccessful,46
841,Anthony Gordon,24,31,30.4,34.4,0.0,0.0,Interception,Successful,46
842,Anthony Gordon,24,31,31.1,35.2,0.0,0.0,BallRecovery,Successful,46
843,Anthony Gordon,24,31,45.1,23.6,0.0,0.0,TakeOn,Unsuccessful,46
844,Fred,17,32,54.9,76.4,0.0,0.0,Tackle,Unsuccessful,46
845,Anthony Gordon,24,31,44.5,26.5,0.0,0.0,BallTouch,Successful,47
846,Andros Townsend,14,31,44.4,27.8,0.0,0.0,Challenge,Unsuccessful,47
847,Fred,17,32,55.6,72.2,0.0,0.0,TakeOn,Successful,47
848,Fred,17,32,56.5,77.9,0.0,0.0,BallRecovery,Successful,47
849,Fred,17,32,59.3,71.6,61.8,45.1,Pass,Successful,47
850,Mason Greenwood,11,32,62.2,41.3,66.0,5.5,Pass,Successful,47
851,Aaron Wan-Bissaka,29,32,65.7,8.5,69.1,19.6,Pass,Successful,47
852,Edinson Cavani,21,32,69.1,19.6,59.1,22.4,Pass,Successful,47
853,Mason Greenwood,11,32,59.1,22.4,58.2,31.3,Pass,Successful,47
854,Scott McTominay,39,32,58.2,31.3,64.5,65.4,Pass,Successful,47
855,Fred,17,32,64.5,66.9,80.6,87.2,Pass,Successful,47
856,Anthony Martial,9,32,87.7,87.6,80.9,71.9,Pass,Successful,47
857,Bruno Fernandes,18,32,80.9,71.9,89.9,76.4,Pass,Unsuccessful,47
858,Ben Godfrey,22,31,7.1,23.9,0.0,4.1,Clearance,Successful,47
859,Ben Godfrey,22,31,4.4,13.8,0.0,0.0,CornerAwarded,Unsuccessful,47
860,Bruno Fernandes,18,32,95.6,86.2,0.0,0.0,CornerAwarded,Successful,47
861,Luke Shaw,23,32,99.5,99.5,78.0,27.2,Pass,Successful,47
862,Mason Greenwood,11,32,76.5,32.0,0.0,0.0,SavedShot,Successful,48
863,Jordan Pickford,1,31,2.4,51.6,0.0,0.0,Save,Successful,48
864,Jordan Pickford,1,31,2.4,51.6,0.0,0.0,KeeperPickup,Successful,48
865,Jordan Pickford,1,31,7.1,50.6,66.6,33.2,Pass,Unsuccessful,48
866,Aaron Wan-Bissaka,29,32,35.0,75.3,0.0,0.0,BallRecovery,Successful,48
867,Aaron Wan-Bissaka,29,32,35.7,80.6,0.0,0.0,BallTouch,Successful,48
868,Luke Shaw,23,32,35.7,75.9,28.6,56.6,Pass,Successful,48
869,Victor Lindelöf,2,32,29.9,50.9,43.7,24.5,Pass,Successful,48
870,Bruno Fernandes,18,32,48.7,21.8,48.4,30.5,Pass,Successful,48
871,Scott McTominay,39,32,53.1,45.4,56.3,23.0,Pass,Successful,48
872,Bruno Fernandes,18,32,57.2,20.2,62.9,4.3,Pass,Successful,48
873,Mason Greenwood,11,32,62.9,4.3,57.4,16.9,Pass,Successful,48
874,Bruno Fernandes,18,32,57.4,17.2,65.3,27.4,Pass,Successful,48
875,Edinson Cavani,21,32,65.3,27.4,34.8,0.0,Pass,Unsuccessful,48
876,Lucas Digne,12,31,62.1,100.0,44.9,57.9,Pass,Successful,48
877,Yerry Mina,13,31,44.4,49.9,48.5,14.0,Pass,Successful,49
878,Ben Godfrey,22,31,48.5,13.9,65.9,8.3,Pass,Successful,49
879,Andros Townsend,14,31,65.8,7.6,0.0,0.0,TakeOn,Successful,49
880,Anthony Martial,9,32,34.2,92.4,0.0,0.0,Challenge,Unsuccessful,49
881,Andros Townsend,14,31,55.9,12.8,51.9,29.3,Pass,Successful,49
882,Abdoulaye Doucouré,16,31,52.1,29.6,52.8,32.5,Pass,Unsuccessful,49
883,Bruno Fernandes,18,32,47.2,68.7,0.0,0.0,BlockedPass,Successful,49
884,Scott McTominay,39,32,44.9,52.8,0.0,0.0,BallRecovery,Successful,49
885,Scott McTominay,39,32,44.9,52.8,46.7,61.1,Pass,Successful,49
886,Fred,17,32,47.6,54.0,67.7,16.4,Pass,Unsuccessful,49
887,Lucas Digne,12,31,31.4,92.1,0.0,0.0,BallRecovery,Successful,49
888,Lucas Digne,12,31,34.9,94.1,72.5,97.7,Pass,Unsuccessful,49
889,Victor Lindelöf,2,32,21.5,2.5,0.0,0.0,BallRecovery,Successful,49
890,Victor Lindelöf,2,32,21.4,3.1,4.0,41.9,Pass,Successful,49
891,David de Gea,1,32,13.3,51.9,16.0,69.8,Pass,Successful,49
892,Raphaël Varane,19,32,26.7,74.1,25.9,49.1,Pass,Successful,49
893,Fred,17,32,26.3,48.2,36.3,24.2,Pass,Successful,49
894,Scott McTominay,39,32,39.3,22.6,52.9,23.2,Pass,Successful,49
895,Mason Greenwood,11,32,52.9,23.2,34.6,7.6,Pass,Successful,49
896,Scott McTominay,39,32,32.7,8.0,42.7,10.1,Pass,Successful,49
897,Mason Greenwood,11,32,38.0,8.5,27.0,48.1,Pass,Successful,49
898,Victor Lindelöf,2,32,27.0,48.1,30.6,77.3,Pass,Successful,49
899,Raphaël Varane,19,32,41.4,77.9,48.5,58.4,Pass,Successful,49
900,Fred,17,32,49.8,58.4,61.1,56.9,Pass,Successful,50
901,Bruno Fernandes,18,32,65.5,61.1,88.2,94.4,Pass,Successful,50
902,Edinson Cavani,21,32,88.3,94.5,84.0,94.8,Pass,Successful,50
903,Anthony Martial,9,32,85.9,90.0,77.4,84.3,Pass,Successful,50
904,Bruno Fernandes,18,32,77.4,84.3,85.7,73.1,Pass,Successful,50
905,Anthony Martial,9,32,84.3,69.9,78.5,61.7,Pass,Unsuccessful,50
906,Abdoulaye Doucouré,16,31,22.1,33.1,0.0,0.0,BallRecovery,Successful,50
907,Abdoulaye Doucouré,16,31,22.4,34.7,13.1,33.8,Pass,Successful,50
908,Ben Godfrey,22,31,13.1,33.8,36.9,43.3,Pass,Successful,50
909,Salomón Rondón,33,31,36.9,43.3,36.6,29.3,Pass,Unsuccessful,50
910,Luke Shaw,23,32,62.9,86.6,0.0,0.0,BallRecovery,Successful,50
911,Luke Shaw,23,32,65.7,96.6,64.6,85.4,Pass,Successful,50
912,Anthony Martial,9,32,64.6,85.4,46.0,87.5,Pass,Successful,50
913,Raphaël Varane,19,32,46.3,75.5,61.1,51.0,Pass,Successful,50
914,Scott McTominay,39,32,61.1,51.0,55.3,69.8,Pass,Successful,50
915,Fred,17,32,55.3,69.8,64.7,96.5,Pass,Successful,50
916,Luke Shaw,23,32,63.8,92.6,47.3,76.4,Pass,Successful,50
917,Raphaël Varane,19,32,46.9,69.2,53.3,42.2,Pass,Successful,50
918,Scott McTominay,39,32,53.5,40.1,65.9,26.0,Pass,Successful,50
919,Mason Greenwood,11,32,68.8,22.0,71.9,4.1,Pass,Successful,50
920,Aaron Wan-Bissaka,29,32,71.5,5.3,0.0,0.0,TakeOn,Unsuccessful,50
921,Lucas Digne,12,31,28.5,94.7,0.0,0.0,Tackle,Unsuccessful,50
922,Aaron Wan-Bissaka,29,32,72.7,2.8,0.0,0.0,BallTouch,Unsuccessful,50
923,Lucas Digne,12,31,29.4,100.0,44.4,95.3,Pass,Unsuccessful,51
924,Aaron Wan-Bissaka,29,32,54.0,6.1,0.0,0.0,BallTouch,Successful,51
925,Fred,17,32,55.7,14.0,0.0,0.0,BallRecovery,Successful,51
926,Fred,17,32,55.8,14.2,62.1,10.7,Pass,Successful,51
927,Bruno Fernandes,18,32,62.1,10.7,56.1,23.3,Pass,Successful,51
928,Fred,17,32,56.1,23.3,63.8,32.9,Pass,Successful,51
929,Edinson Cavani,21,32,62.9,36.4,57.1,68.4,Pass,Successful,51
930,Luke Shaw,23,32,57.1,68.4,67.4,71.0,Pass,Successful,51
931,Anthony Martial,9,32,67.4,71.0,56.3,95.3,Pass,Successful,51
932,Luke Shaw,23,32,56.3,95.3,54.5,78.2,Pass,Successful,51
933,Anthony Martial,9,32,53.2,77.4,46.4,45.8,Pass,Successful,51
934,Victor Lindelöf,2,32,46.6,44.5,54.0,32.3,Pass,Successful,51
935,Scott McTominay,39,32,57.3,29.2,65.5,48.8,Pass,Successful,51
936,Fred,17,32,65.5,48.8,72.7,57.2,Pass,Successful,51
937,Bruno Fernandes,18,32,72.7,57.2,78.0,78.6,Pass,Unsuccessful,51
938,Ben Godfrey,22,31,23.3,13.0,0.0,0.0,BallRecovery,Successful,51
939,Ben Godfrey,22,31,23.0,5.9,82.7,12.4,Pass,Unsuccessful,51
940,Raphaël Varane,19,32,8.6,84.0,0.0,0.0,BallRecovery,Successful,51
941,Raphaël Varane,19,32,8.3,83.9,4.7,66.6,Pass,Successful,51
942,David de Gea,1,32,4.7,66.6,25.0,78.3,Pass,Successful,51
943,Fred,17,32,28.5,75.0,28.3,43.1,Pass,Successful,51
944,Scott McTominay,39,32,29.5,40.0,35.9,21.5,Pass,Successful,51
945,Aaron Wan-Bissaka,29,32,37.5,18.1,49.1,4.4,Pass,Successful,51
946,Mason Greenwood,11,32,54.0,13.0,47.8,24.5,Pass,Successful,52
947,Scott McTominay,39,32,53.3,31.1,71.1,33.1,Pass,Unsuccessful,52
948,Michael Keane,5,31,24.4,66.9,0.0,0.0,BallRecovery,Successful,52
949,Michael Keane,5,31,26.1,64.2,34.0,57.9,Pass,Successful,52
950,Abdoulaye Doucouré,16,31,36.4,44.6,58.1,6.1,Pass,Successful,52
951,Demarai Gray,11,31,57.2,6.7,0.0,0.0,TakeOn,Unsuccessful,52
952,Bruno Fernandes,18,32,42.8,93.3,0.0,0.0,Tackle,Unsuccessful,52
953,Demarai Gray,11,31,57.1,6.7,0.0,0.0,BallTouch,Successful,52
954,Luke Shaw,23,32,40.1,100.0,29.7,92.4,Pass,Successful,52
955,Raphaël Varane,19,32,25.6,91.7,31.4,39.2,Pass,Successful,52
956,Scott McTominay,39,32,40.1,30.8,36.9,47.3,Pass,Successful,52
957,Victor Lindelöf,2,32,43.0,56.1,45.3,91.7,Pass,Successful,52
958,Luke Shaw,23,32,45.3,91.7,58.4,97.1,Pass,Successful,52
959,Anthony Martial,9,32,58.4,97.1,58.4,82.7,Pass,Successful,52
960,Luke Shaw,23,32,61.2,82.4,70.6,96.6,Pass,Successful,52
961,Anthony Martial,9,32,70.9,96.6,74.9,90.2,Pass,Unsuccessful,52
962,Yerry Mina,13,31,23.8,13.4,37.1,8.5,Pass,Successful,52
963,Andros Townsend,14,31,37.7,7.4,0.0,0.0,BallRecovery,Successful,52
964,Andros Townsend,14,31,39.1,5.8,0.0,0.0,Foul,Successful,52
965,Luke Shaw,23,32,60.9,94.2,0.0,0.0,Foul,Unsuccessful,52
966,Ben Godfrey,22,31,38.0,4.3,43.5,33.4,Pass,Successful,53
967,Allan,6,31,43.5,33.4,35.2,57.9,Pass,Successful,53
968,Michael Keane,5,31,37.3,68.6,54.8,95.3,Pass,Successful,53
969,Lucas Digne,12,31,47.5,92.4,54.8,81.3,Pass,Successful,53
970,Allan,6,31,51.9,84.3,51.7,85.9,Pass,Unsuccessful,53
971,Edinson Cavani,21,32,47.5,15.5,0.0,0.0,BlockedPass,Successful,53
972,Lucas Digne,12,31,53.2,100.0,55.5,71.1,Pass,Successful,53
973,Demarai Gray,11,31,44.4,67.4,45.0,34.6,Pass,Successful,53
974,Ben Godfrey,22,31,44.2,25.3,59.9,5.5,Pass,Successful,53
975,Andros Townsend,14,31,59.6,16.8,0.0,0.0,TakeOn,Successful,53
976,Luke Shaw,23,32,40.4,83.2,0.0,0.0,Challenge,Unsuccessful,53
977,Andros Townsend,14,31,66.0,11.5,85.7,31.6,Pass,Unsuccessful,53
978,Victor Lindelöf,2,32,12.6,65.4,12.7,81.6,Clearance,Successful,53
979,Ben Godfrey,22,31,87.4,16.9,0.0,0.0,TakeOn,Unsuccessful,53
980,Luke Shaw,23,32,12.6,83.1,0.0,0.0,Tackle,Successful,53
981,Fred,17,32,0.9,84.8,46.5,96.3,Pass,Unsuccessful,54
982,Andros Townsend,14,31,44.9,5.0,38.1,7.6,Pass,Successful,55
983,Ben Godfrey,22,31,38.1,7.6,44.0,3.1,Pass,Successful,55
984,Andros Townsend,14,31,44.0,3.1,38.5,7.9,Pass,Successful,55
985,Ben Godfrey,22,31,38.5,7.9,43.2,27.1,Pass,Successful,55
986,Abdoulaye Doucouré,16,31,43.0,29.5,35.5,59.0,Pass,Successful,55
987,Michael Keane,5,31,35.5,59.0,60.6,90.8,Pass,Successful,55
988,Lucas Digne,12,31,60.6,90.8,87.7,96.0,Pass,Successful,55
989,Anthony Gordon,24,31,87.6,95.6,92.2,83.1,Pass,Unsuccessful,55
990,Victor Lindelöf,2,32,9.7,8.8,0.0,0.0,BallTouch,Successful,55
991,Lucas Digne,12,31,96.3,74.3,95.5,46.6,Pass,Unsuccessful,55
992,Luke Shaw,23,32,7.1,54.3,10.3,43.9,Clearance,Successful,55
993,Scott McTominay,39,32,10.3,44.0,18.8,53.9,Clearance,Successful,55
994,Bruno Fernandes,18,32,19.8,55.7,15.5,31.6,Pass,Unsuccessful,55
995,Anthony Gordon,24,31,79.3,64.7,75.5,69.6,Pass,Successful,55
996,Demarai Gray,11,31,89.8,74.6,86.3,83.9,Pass,Successful,55
997,Lucas Digne,12,31,89.4,83.9,92.1,56.9,Pass,Successful,55
998,Andros Townsend,14,31,91.3,59.6,0.0,0.0,Aerial,Successful,55
999,Victor Lindelöf,2,32,8.7,40.4,0.0,0.0,Aerial,Unsuccessful,55
1000,Andros Townsend,14,31,92.3,56.7,0.0,0.0,MissedShots,Successful,55
1001,Anthony Martial,9,32,0.0,0.0,0.0,0.0,SubstitutionOff,Successful,56
1002,Jadon Sancho,25,32,0.0,0.0,0.0,0.0,SubstitutionOn,Successful,56
